Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
COM-	0.5000	0.1625	
MANUAL	1.0000	1.0000	
AC-	0.5000	0.2567	
HERE	0.8000	0.7626	
COUNTRY,	1.0000	0.3333	
DOWN,	1.0000	0.5000	
JUDGE	1.0000	1.0000	
HE	0.4000	0.4533	
BEEVES	1.0000	0.3333	
FORE	1.0000	0.5000	
ENSIGN	1.0000	1.0000	
WILLIAMSBURGH	1.0000	1.0000	
TRIDGES.	1.0000	1.0000	
WAITING	1.0000	0.2000	
TAKING	1.0000	1.0000	
ORDERED	0.7500	0.7333	
OFFICERS	1.0000	0.3333	
WHICH	1.0000	1.0000	
GEORGE	0.0000	0.0833	
BE,	0.0000	0.1667	
THEN	0.5000	0.1149	
GOOD	1.0000	1.0000	
P.S.	0.0000	0.1111	
SAID	1.0000	1.0000	
5TH	0.0000	0.0058	
RENDEZ-	1.0000	1.0000	
NOW	0.5000	0.1989	
SION	1.0000	0.3333	
CUMBERLAND;	1.0000	0.5000	
WE	0.2500	0.3167	
APPLY	1.0000	1.0000	
SEEING	1.0000	1.0000	
REMAINS	1.0000	1.0000	
COUNTRY	1.0000	1.0000	
YOUR	0.6000	0.5534	
EVILS,	0.0000	0.0097	
OMINOUS.	1.0000	1.0000	
ENCREASED,	1.0000	1.0000	
CAPTAINS	1.0000	1.0000	
SOLDIERS;	1.0000	1.0000	
TOOLS	1.0000	1.0000	
STEWARTS	0.0000	0.0010	
CAN.	1.0000	1.0000	
DESIRE	1.0000	1.0000	
SURGEON,	1.0000	1.0000	
REASMERS	1.0000	1.0000	
PRAY	0.0000	0.0022	
HIS	0.8000	0.8625	
PRETENCE,	1.0000	0.5000	
HONOURS	1.0000	0.2500	
SALT.	0.0000	0.0154	
PUBLICK	1.0000	1.0000	
ARE	1.0000	0.9068	
COURT	1.0000	0.5000	
BREECHES;	1.0000	1.0000	
CONCEIVE,	1.0000	1.0000	
IS	1.0000	0.8169	
ANY	1.0000	0.7556	
DIRECTING	1.0000	1.0000	
QUANTITY	1.0000	1.0000	
16,	0.0000	0.0023	
TIME:	1.0000	1.0000	
ABOUT	1.0000	1.0000	
THEIR	1.0000	0.7556	
ARRIVED:	1.0000	0.5000	
22D.	1.0000	1.0000	
ISSUE	0.0000	0.0164	
PENNSYLVANIA	1.0000	1.0000	
PATTERSONS	1.0000	1.0000	
FUL	1.0000	0.5000	
THERE.	0.0000	0.0526	
SPECT	1.0000	1.0000	
HARBOURING	1.0000	1.0000	
OFF	0.0000	0.1667	
ON	1.0000	0.8056	
FERGUSON	1.0000	1.0000	
PETER	1.0000	1.0000	
ED	0.0000	0.0500	
SHOULD	1.0000	1.0000	
ALLEN	0.0000	0.1111	
ALLOWED.	1.0000	1.0000	
MARCH,	1.0000	0.5000	
RENDEZVOUS	1.0000	0.8333	
CAPTAIN	0.6000	0.6405	
OCTOBER	0.3333	0.2529	
TOBER	1.0000	1.0000	
RENDEZVOUSING	1.0000	0.5000	
BEARER,	0.0000	0.1111	
THERE-	1.0000	0.3333	
DECEMR.	1.0000	0.2000	
HONOURED	1.0000	1.0000	
THOSE	1.0000	1.0000	
KNOW	1.0000	1.0000	
DAG-	1.0000	1.0000	
TEN	1.0000	1.0000	
NECESSARY	1.0000	0.7500	
TAR-	0.0000	0.0030	
DESER-	0.0000	0.1250	
LEAVE	1.0000	0.5000	
INFORMING	1.0000	1.0000	
ALSO.	1.0000	0.3333	
BELOW;	1.0000	1.0000	
TWELVE	0.5000	0.6429	
REPAIR	1.0000	0.2500	
RETURN	0.5000	0.5455	
OFFICE,	0.0000	0.0217	
IT	0.8000	0.7811	
ORDERED,	1.0000	0.7556	
TUALLY	1.0000	1.0000	
STEWART,	1.0000	0.3333	
PROPER	1.0000	1.0000	
RETURNS	1.0000	1.0000	
CAPTAINS'	1.0000	0.5000	
TIME,	1.0000	0.5000	
LOSSES	1.0000	1.0000	
EMBRACE	1.0000	1.0000	
YET	1.0000	1.0000	
COMPANY;	0.0000	0.1429	
OTHER	1.0000	1.0000	
WARRANTS,	0.0000	0.0213	
CHARGE	1.0000	1.0000	
WHAT	0.7500	0.8304	
MENT;	0.0000	0.0152	
MADE	1.0000	1.0000	
EXPECTED	1.0000	1.0000	
SHAW,	1.0000	0.2500	
CAROLINA	1.0000	1.0000	
PROCEED	1.0000	1.0000	
DIRECTED	1.0000	1.0000	
COMPANIES,	1.0000	0.5000	
YOU	0.8000	0.7928	
MARK,	1.0000	1.0000	
COMPLETELY	1.0000	1.0000	
277.	1.0000	0.3333	
1755.	0.6000	0.7886	
SAFE	1.0000	1.0000	
COMPLAINED	1.0000	0.5000	
POVERTY;	1.0000	0.5000	
LAY	1.0000	0.3333	
COMPA-	1.0000	1.0000	
RECEIVED	1.0000	1.0000	
ALTERNS	1.0000	0.2500	
NECESSARIES	1.0000	1.0000	
GOOSE	1.0000	0.5000	
IMMEDIATELY	1.0000	0.5000	
WHATEVER	1.0000	0.8333	
SALT	1.0000	1.0000	
PAY	1.0000	1.0000	
COMPLETE	1.0000	0.3333	
HOUSES	1.0000	0.5000	
IM-	1.0000	0.3333	
WHERE	0.5000	0.1675	
DIRECTIONS	1.0000	1.0000	
EIGHT	1.0000	1.0000	
MUST	1.0000	1.0000	
CLAUSE	1.0000	1.0000	
&C.	0.2000	0.0518	
RECRUIT	1.0000	1.0000	
HAVE	0.8000	0.7375	
ARRIVE	1.0000	0.2500	
BOYD,	0.0000	0.0625	
CUMBERLAND,	1.0000	1.0000	
SUSTAINED	1.0000	1.0000	
HEREBY	1.0000	1.0000	
SOLDIER	1.0000	0.2500	
UPON	1.0000	1.0000	
SUITS	1.0000	1.0000	
ACCOUNT,	1.0000	0.2500	
YOURSELF,	1.0000	0.5000	
300.	0.0000	0.0204	
SOON	1.0000	0.9167	
HATS	0.0000	0.0096	
MEN.	0.0000	0.0455	
PAID	1.0000	1.0000	
HAVE,	1.0000	0.5000	
GENE-	1.0000	1.0000	
AFTER	0.0000	0.1667	
AS	1.0000	0.7377	
THE	1.0000	0.9725	
RER	1.0000	1.0000	
MEN	1.0000	0.6389	
READINESS	1.0000	1.0000	
ORDER	0.7500	0.8500	
AID	0.5000	0.4473	
CLOTHING	1.0000	1.0000	
PLACE,	1.0000	1.0000	
TRACTED	1.0000	1.0000	
TOWN,	1.0000	0.3333	
LAW	0.0000	0.0714	
THINK	0.0000	0.1250	
SORE	1.0000	1.0000	
FORWARD	1.0000	1.0000	
SALTED.	1.0000	1.0000	
CAROLINA:	1.0000	0.5000	
SUB-	0.0000	0.0115	
STOCKING,	1.0000	1.0000	
ELEVEN	1.0000	1.0000	
OF	1.0000	0.9911	
