Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.6772	0.6604	
MAKING	0.6667	0.7333	
UNDER	0.6000	0.7588	
WHOLE	0.8000	0.9151	
AVERRHOA	1.0000	0.7556	
BOARD	0.7500	0.7292	
GARDENS	0.6000	0.8333	
GARDEN	0.8000	0.6699	
CULTIVATED	0.6000	0.5917	
VALUABLE	1.0000	0.8412	
COLLECTING	1.0000	1.0000	
ITALY	1.0000	0.9167	
CALCUTTA	1.0000	1.0000	
THREE	0.7500	0.6060	
PLANTS	0.8000	0.6677	
TIMES	0.6667	0.5500	
NOT	0.8000	0.6945	
CULTIVATION	0.7500	0.7644	
FEBRUARY	1.0000	1.0000	
BUT	0.6000	0.4495	
WHERE	0.2500	0.3129	
PRODUCED	0.6667	0.7222	
CHINA	1.0000	1.0000	
DIFFERENT	0.6667	0.7024	
DIRECTED	1.0000	0.9167	
ITS	0.2000	0.1512	
PARTS	0.5000	0.4854	
COMMON	1.0000	1.0000	
PLANT	0.0000	0.0810	
CHIEF	0.2000	0.1782	
GEORGE	0.4000	0.3554	
IMPORTANCE	1.0000	1.0000	
EVERY	0.6000	0.8254	
CLIMATE	0.2000	0.3106	
FRUIT	0.6000	0.6567	
PURCHASE	0.6667	0.7067	
INDIA	1.0000	0.8173	
COUNTRIES	0.2500	0.1861	
GOVERNMENT	1.0000	0.8667	
SUMMER	0.6000	0.6374	
ATTENTION	0.7500	0.7543	
BEING	1.0000	1.0000	
SHALL	0.3333	0.5278	
BOTANICAL	1.0000	1.0000	
WATER	0.6667	0.4879	
ABOVE	0.6667	0.5025	
LETTER	0.8000	0.5881	
THERE	0.6000	0.4600	
BE	1.0000	0.6993	
FUTURE	0.0000	0.0883	
AND	1.0000	0.8785	
HONBLE	0.2000	0.1845	
EMPLOYED	1.0000	0.6389	
KNOWN	0.0000	0.1224	
SEVERAL	0.6667	0.8095	
SEASON	1.0000	1.0000	
SUBJECT	0.6667	0.5000	
DIVISION	1.0000	1.0000	
ESQRE	1.0000	1.0000	
PRESENT	0.6667	0.5917	
NATIVES	0.3333	0.3946	
INDIES	0.3333	0.2847	
CONTD	0.5000	0.5013	
SEEDS	0.6000	0.5261	
GOVERN	0.0000	0.0608	
THOSE	0.2000	0.2482	
GREAT	0.6667	0.7193	
AUGUST	1.0000	1.0000	
QUANTITY	1.0000	1.0000	
CALLED	1.0000	1.0000	
WHICH	1.0000	0.6845	
APRIL	0.8000	0.8711	
STATE	0.6667	0.6930	
SENNA	0.7500	0.6364	
INCHES	0.4000	0.4402	
ROPES	1.0000	1.0000	
CONSIDERABLE	1.0000	1.0000	
PLACE	0.6000	0.5908	
DURING	0.8000	0.8509	
CONSIDER	1.0000	1.0000	
GIBSON	1.0000	1.0000	
THEIR	0.2000	0.2991	
LEAVES	1.0000	1.0000	
TREES	0.8000	0.8963	
SUPERINTENDENT	0.2500	0.4155	
SOUTHERN	0.6000	0.4671	
DECEMBER	0.7500	0.8000	
ANNUAL	0.3333	0.5119	
FOR	0.4000	0.3436	
PROVINCES	0.8000	0.8714	
THEREFORE	0.5000	0.5301	
TEMPERATURES	0.6667	0.6806	
THESE	0.8000	0.5768	
DATED	1.0000	1.0000	
GENERAL	0.6667	0.6735	
LITTLE	0.3333	0.0881	
SHOULD	0.8000	0.9250	
REVENUE	0.5000	0.5604	
DOCTOR	1.0000	1.0000	
MIGHT	0.6000	0.6013	
WILLIAM	0.0000	0.0470	
FIRST	0.7500	0.6885	
