Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.2474	0.2263	
MAKING	0.0000	0.0148	
UNDER	0.0000	0.0342	
WHOLE	0.2000	0.2437	
GARDENS	0.2000	0.2514	
AVERRHOA	0.6667	0.6930	
BOARD	0.0000	0.0283	
GARDEN	0.2000	0.0530	
CULTIVATED	0.2000	0.2015	
VALUABLE	0.4000	0.2703	
COLLECTING	0.6667	0.6970	
CALCUTTA	0.6667	0.7778	
ITALY	0.0000	0.0550	
THREE	0.2500	0.2383	
PLANTS	0.0000	0.0342	
TIMES	0.3333	0.3695	
NOT	0.0000	0.1035	
CULTIVATION	0.5000	0.3758	
FEBRUARY	0.3333	0.3995	
BUT	0.2000	0.0941	
WHERE	0.0000	0.0063	
PRODUCED	0.3333	0.4396	
CHINA	0.2500	0.2883	
DIFFERENT	1.0000	0.9167	
DIRECTED	0.3333	0.4032	
ITS	0.0000	0.0101	
PARTS	0.2500	0.2543	
COMMON	0.3333	0.2153	
PLANT	0.0000	0.0498	
CHIEF	0.4000	0.3219	
GEORGE	0.0000	0.0085	
IMPORTANCE	0.6667	0.5000	
EVERY	0.2000	0.1370	
FRUIT	0.2000	0.0661	
CLIMATE	0.0000	0.0306	
PURCHASE	0.3333	0.3648	
INDIA	0.0000	0.0319	
COUNTRIES	0.0000	0.0137	
GOVERNMENT	0.3333	0.3703	
SUMMER	0.0000	0.0203	
ATTENTION	0.2500	0.2960	
SHALL	0.3333	0.1262	
BEING	0.5000	0.4853	
BOTANICAL	0.0000	0.0530	
WATER	0.0000	0.0020	
ABOVE	0.3333	0.4478	
LETTER	0.2000	0.2031	
THERE	0.4000	0.4354	
BE	1.0000	0.4223	
FUTURE	0.3333	0.2329	
AND	1.0000	0.6027	
HONBLE	0.2000	0.2357	
EMPLOYED	0.0000	0.1534	
KNOWN	0.0000	0.0064	
SEASON	0.3333	0.4606	
SEVERAL	0.3333	0.3584	
SUBJECT	0.0000	0.0431	
DIVISION	0.5000	0.3931	
ESQRE	0.2500	0.1916	
PRESENT	0.3333	0.1043	
NATIVES	0.0000	0.0202	
INDIES	0.0000	0.0389	
CONTD	0.5000	0.5669	
SEEDS	0.0000	0.0516	
GOVERN	0.0000	0.0025	
THOSE	0.4000	0.2450	
GREAT	0.3333	0.3545	
AUGUST	0.0000	0.0034	
QUANTITY	0.0000	0.0947	
CALLED	0.0000	0.0324	
WHICH	0.6000	0.4850	
APRIL	0.0000	0.0093	
STATE	0.3333	0.2762	
SENNA	0.2500	0.1593	
INCHES	0.2000	0.0972	
ROPES	0.3333	0.4303	
CONSIDERABLE	0.7500	0.4161	
PLACE	0.2000	0.2554	
CONSIDER	0.3333	0.1244	
DURING	0.0000	0.1189	
GIBSON	0.0000	0.0125	
THEIR	0.0000	0.0244	
LEAVES	0.6667	0.3506	
TREES	0.2000	0.0720	
SUPERINTENDENT	0.2500	0.1846	
SOUTHERN	0.2000	0.2926	
DECEMBER	0.7500	0.7645	
ANNUAL	0.0000	0.0418	
FOR	0.2000	0.0972	
PROVINCES	0.2000	0.2758	
THEREFORE	1.0000	1.0000	
TEMPERATURES	0.3333	0.1868	
THESE	0.4000	0.2822	
DATED	0.0000	0.0386	
GENERAL	0.0000	0.0799	
LITTLE	0.0000	0.0021	
SHOULD	0.0000	0.0239	
REVENUE	0.0000	0.0189	
DOCTOR	0.6000	0.5062	
MIGHT	0.0000	0.0401	
WILLIAM	0.2000	0.0520	
FIRST	0.0000	0.0908	
