Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.6294	0.5892	
MAKING	0.6667	0.7193	
UNDER	0.4000	0.4679	
WHOLE	0.8000	0.8556	
GARDENS	0.6000	0.6754	
AVERRHOA	0.6667	0.6465	
BOARD	0.5000	0.6845	
GARDEN	0.8000	0.8299	
CULTIVATED	0.4000	0.2644	
VALUABLE	0.6000	0.4894	
COLLECTING	0.3333	0.3467	
CALCUTTA	0.6667	0.7011	
ITALY	0.0000	0.0714	
THREE	0.2500	0.2279	
PLANTS	1.0000	0.8036	
TIMES	0.3333	0.1852	
NOT	1.0000	0.7718	
CULTIVATION	0.5000	0.4684	
FEBRUARY	1.0000	0.9167	
BUT	0.8000	0.6911	
WHERE	0.2500	0.2326	
PRODUCED	0.6667	0.5714	
CHINA	1.0000	0.9500	
DIFFERENT	0.6667	0.6681	
DIRECTED	0.6667	0.4111	
ITS	0.8000	0.7391	
PARTS	0.7500	0.5937	
COMMON	0.6667	0.5030	
PLANT	0.2500	0.1269	
CHIEF	0.2000	0.2212	
GEORGE	0.6000	0.5207	
IMPORTANCE	0.6667	0.4343	
EVERY	0.4000	0.3726	
FRUIT	0.2000	0.0783	
CLIMATE	0.0000	0.0725	
PURCHASE	0.6667	0.7667	
INDIA	0.8000	0.7121	
COUNTRIES	0.2500	0.1201	
GOVERNMENT	1.0000	0.8667	
SUMMER	0.4000	0.4769	
ATTENTION	0.7500	0.7738	
SHALL	0.6667	0.5436	
BEING	0.7500	0.8167	
BOTANICAL	1.0000	0.7556	
WATER	0.6667	0.7500	
ABOVE	1.0000	0.9167	
LETTER	1.0000	0.8100	
THERE	0.4000	0.4499	
BE	1.0000	0.8924	
FUTURE	0.6667	0.3034	
AND	1.0000	0.9600	
HONBLE	0.4000	0.5491	
EMPLOYED	0.6667	0.7024	
KNOWN	0.7500	0.8542	
SEASON	0.6667	0.5024	
SEVERAL	1.0000	0.7000	
SUBJECT	0.6667	0.5156	
DIVISION	1.0000	0.6792	
ESQRE	1.0000	1.0000	
PRESENT	0.6667	0.7381	
NATIVES	0.6667	0.6804	
INDIES	0.6667	0.7000	
CONTD	0.7500	0.7935	
SEEDS	0.6000	0.5211	
GOVERN	0.0000	0.0202	
THOSE	0.4000	0.3876	
GREAT	0.3333	0.1101	
AUGUST	0.0000	0.0361	
CALLED	1.0000	0.8667	
QUANTITY	1.0000	1.0000	
WHICH	1.0000	0.9025	
APRIL	1.0000	1.0000	
STATE	0.3333	0.4037	
SENNA	0.7500	0.8125	
INCHES	0.2000	0.2013	
ROPES	0.6667	0.3667	
CONSIDERABLE	0.7500	0.8542	
PLACE	0.4000	0.5980	
CONSIDER	1.0000	0.4778	
DURING	0.4000	0.6658	
GIBSON	0.0000	0.0140	
THEIR	0.6000	0.5645	
LEAVES	0.6667	0.7778	
TREES	0.6000	0.7195	
SUPERINTENDENT	0.2500	0.5071	
SOUTHERN	0.6000	0.5584	
DECEMBER	1.0000	0.9500	
ANNUAL	0.6667	0.6761	
FOR	1.0000	0.7161	
PROVINCES	0.0000	0.0430	
THEREFORE	0.5000	0.3786	
TEMPERATURES	0.3333	0.2333	
THESE	0.6000	0.4491	
DATED	0.6667	0.6984	
GENERAL	0.6667	0.6984	
LITTLE	0.6667	0.8333	
SHOULD	0.6000	0.5560	
REVENUE	0.7500	0.6140	
DOCTOR	1.0000	1.0000	
MIGHT	0.8000	0.8299	
WILLIAM	1.0000	1.0000	
FIRST	0.7500	0.8304	
