Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.6361	0.6180	
MAKING	0.3333	0.4139	
UNDER	0.4000	0.4685	
WHOLE	0.6000	0.6150	
BOARD	0.5000	0.3458	
GARDENS	0.6000	0.6243	
AVERRHOA	0.6667	0.6111	
GARDEN	0.8000	0.7105	
CULTIVATED	0.8000	0.7377	
VALUABLE	1.0000	0.9103	
COLLECTING	1.0000	0.8667	
ITALY	1.0000	0.8667	
CALCUTTA	0.6667	0.7292	
THREE	0.7500	0.6913	
PLANTS	0.4000	0.4464	
TIMES	0.6667	0.8333	
NOT	0.6000	0.6276	
CULTIVATION	0.5000	0.6659	
FEBRUARY	1.0000	0.9167	
BUT	0.6000	0.4319	
WHERE	0.0000	0.0829	
PRODUCED	0.3333	0.4028	
CHINA	0.5000	0.7321	
DIFFERENT	0.6667	0.7500	
DIRECTED	1.0000	1.0000	
ITS	0.6000	0.2624	
PARTS	0.7500	0.6576	
COMMON	1.0000	1.0000	
PLANT	0.2500	0.0733	
CHIEF	0.0000	0.0300	
GEORGE	0.0000	0.0137	
IMPORTANCE	0.6667	0.7576	
EVERY	0.6000	0.8143	
FRUIT	0.8000	0.8769	
CLIMATE	0.6000	0.8143	
PURCHASE	0.3333	0.4788	
INDIA	0.6000	0.6640	
COUNTRIES	0.2500	0.3564	
SUMMER	0.2000	0.2596	
GOVERNMENT	0.6667	0.8095	
ATTENTION	0.7500	0.7976	
BEING	0.7500	0.8929	
SHALL	0.6667	0.4444	
BOTANICAL	0.6667	0.7576	
WATER	1.0000	1.0000	
ABOVE	0.3333	0.4608	
LETTER	0.8000	0.6483	
THERE	0.4000	0.4410	
BE	0.8000	0.7119	
FUTURE	1.0000	0.7556	
AND	1.0000	0.8219	
HONBLE	0.8000	0.6823	
EMPLOYED	1.0000	0.6389	
KNOWN	0.5000	0.5401	
SEVERAL	0.6667	0.6032	
SEASON	1.0000	1.0000	
SUBJECT	1.0000	0.8667	
DIVISION	1.0000	1.0000	
ESQRE	1.0000	0.8875	
PRESENT	0.6667	0.6667	
NATIVES	0.3333	0.3624	
INDIES	0.3333	0.0932	
CONTD	0.0000	0.0146	
SEEDS	0.6000	0.5090	
GOVERN	0.0000	0.0095	
THOSE	0.4000	0.3993	
GREAT	0.6667	0.5667	
AUGUST	0.6667	0.7381	
QUANTITY	0.7500	0.7875	
CALLED	1.0000	1.0000	
WHICH	1.0000	0.8069	
APRIL	0.6000	0.6705	
STATE	0.6667	0.3135	
SENNA	0.5000	0.6571	
INCHES	0.4000	0.4279	
ROPES	0.6667	0.5500	
CONSIDERABLE	1.0000	1.0000	
PLACE	0.2000	0.3333	
DURING	0.8000	0.8141	
CONSIDER	0.6667	0.7778	
GIBSON	0.6000	0.5790	
THEIR	0.4000	0.2071	
LEAVES	0.6667	0.8333	
TREES	1.0000	0.7836	
SUPERINTENDENT	0.5000	0.5794	
SOUTHERN	0.2000	0.1602	
DECEMBER	1.0000	0.9500	
ANNUAL	0.6667	0.5250	
FOR	1.0000	0.4429	
PROVINCES	0.8000	0.9111	
THEREFORE	1.0000	0.8875	
TEMPERATURES	0.3333	0.2312	
THESE	0.8000	0.6104	
DATED	1.0000	1.0000	
GENERAL	0.6667	0.6706	
LITTLE	0.6667	0.7024	
SHOULD	0.4000	0.4788	
REVENUE	0.5000	0.6333	
DOCTOR	1.0000	1.0000	
MIGHT	0.8000	0.7467	
WILLIAM	0.0000	0.0428	
FIRST	0.5000	0.6500	
