Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.2155	0.2057	
MAKING	0.6667	0.5650	
UNDER	0.0000	0.0129	
WHOLE	0.0000	0.1462	
GARDENS	0.4000	0.4348	
AVERRHOA	0.0000	0.0166	
BOARD	0.0000	0.0071	
GARDEN	0.0000	0.0399	
CULTIVATED	0.2000	0.1047	
VALUABLE	0.4000	0.5833	
COLLECTING	0.6667	0.7436	
CALCUTTA	0.3333	0.3786	
ITALY	0.0000	0.0197	
THREE	0.0000	0.0795	
PLANTS	0.2000	0.1402	
TIMES	0.6667	0.5004	
NOT	0.2000	0.2433	
CULTIVATION	0.0000	0.0729	
FEBRUARY	0.0000	0.0111	
BUT	0.0000	0.0478	
WHERE	0.0000	0.0469	
PRODUCED	0.0000	0.0272	
CHINA	0.0000	0.0999	
DIFFERENT	0.0000	0.0205	
DIRECTED	0.3333	0.4509	
ITS	0.0000	0.0094	
PARTS	0.2500	0.1392	
COMMON	0.6667	0.5917	
PLANT	0.2500	0.1380	
CHIEF	0.0000	0.0039	
GEORGE	0.0000	0.0112	
IMPORTANCE	0.0000	0.0261	
EVERY	0.2000	0.2442	
FRUIT	0.4000	0.2689	
CLIMATE	0.0000	0.0594	
PURCHASE	0.3333	0.1320	
INDIA	0.2000	0.1704	
COUNTRIES	0.2500	0.2753	
SUMMER	0.0000	0.0122	
GOVERNMENT	0.0000	0.0363	
ATTENTION	1.0000	1.0000	
SHALL	0.3333	0.0730	
BEING	0.5000	0.5157	
BOTANICAL	0.0000	0.0295	
WATER	0.0000	0.0066	
ABOVE	0.3333	0.3488	
LETTER	0.6000	0.4054	
THERE	0.4000	0.4513	
BE	0.2000	0.1201	
FUTURE	0.0000	0.0677	
AND	1.0000	0.6073	
HONBLE	0.4000	0.2437	
EMPLOYED	0.0000	0.1136	
KNOWN	0.0000	0.0114	
SEASON	1.0000	0.8667	
SEVERAL	0.6667	0.6711	
SUBJECT	0.0000	0.0097	
DIVISION	0.2500	0.3138	
ESQRE	0.0000	0.0187	
PRESENT	0.3333	0.1379	
NATIVES	0.0000	0.0879	
INDIES	0.0000	0.0070	
CONTD	0.2500	0.3044	
SEEDS	0.0000	0.0163	
GOVERN	0.0000	0.0035	
THOSE	0.0000	0.0295	
GREAT	0.3333	0.0813	
AUGUST	0.0000	0.0023	
QUANTITY	0.5000	0.5112	
CALLED	0.3333	0.1331	
WHICH	0.2000	0.0846	
APRIL	0.2000	0.1194	
STATE	0.6667	0.2806	
SENNA	0.2500	0.3764	
INCHES	0.2000	0.1893	
ROPES	0.0000	0.0454	
CONSIDERABLE	0.0000	0.1633	
PLACE	0.0000	0.0714	
CONSIDER	0.3333	0.4051	
DURING	0.6000	0.4384	
GIBSON	0.0000	0.0030	
THEIR	0.0000	0.0416	
LEAVES	0.3333	0.3437	
TREES	0.2000	0.0853	
SUPERINTENDENT	0.5000	0.6429	
SOUTHERN	0.2000	0.2358	
DECEMBER	0.0000	0.0307	
ANNUAL	0.0000	0.0284	
FOR	0.4000	0.2736	
PROVINCES	0.4000	0.4006	
THEREFORE	0.2500	0.3027	
TEMPERATURES	0.3333	0.1966	
THESE	0.2000	0.2021	
DATED	0.6667	0.8333	
GENERAL	0.3333	0.3680	
LITTLE	0.0000	0.0540	
SHOULD	0.0000	0.0194	
REVENUE	0.0000	0.0561	
DOCTOR	0.0000	0.0197	
MIGHT	0.2000	0.0927	
WILLIAM	0.0000	0.0129	
FIRST	0.2500	0.2551	
