Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.5724	0.5440	
MAKING	0.6667	0.3810	
UNDER	0.4000	0.4167	
WHOLE	1.0000	0.8365	
BOARD	0.7500	0.9167	
AVERRHOA	0.3333	0.2396	
GARDENS	0.2000	0.1935	
GARDEN	0.8000	0.7636	
CULTIVATED	0.4000	0.4570	
VALUABLE	1.0000	1.0000	
COLLECTING	0.6667	0.6082	
CALCUTTA	1.0000	1.0000	
ITALY	0.3333	0.1482	
THREE	0.0000	0.0956	
PLANTS	0.6000	0.4180	
TIMES	0.3333	0.5873	
NOT	1.0000	0.7108	
CULTIVATION	0.5000	0.6845	
FEBRUARY	1.0000	1.0000	
BUT	0.8000	0.4722	
WHERE	0.0000	0.1175	
PRODUCED	0.6667	0.6556	
CHINA	0.7500	0.8611	
DIFFERENT	1.0000	0.9167	
DIRECTED	0.6667	0.7083	
ITS	0.4000	0.3533	
PARTS	0.5000	0.6845	
COMMON	0.6667	0.6676	
PLANT	0.2500	0.2134	
CHIEF	0.2000	0.0639	
GEORGE	0.8000	0.6696	
IMPORTANCE	0.6667	0.3595	
EVERY	0.6000	0.6733	
FRUIT	0.2000	0.3558	
CLIMATE	0.0000	0.0267	
PURCHASE	1.0000	0.8667	
INDIA	0.8000	0.6775	
COUNTRIES	0.0000	0.0192	
SUMMER	0.0000	0.0152	
GOVERNMENT	1.0000	0.5889	
ATTENTION	1.0000	0.9500	
BEING	0.5000	0.4026	
SHALL	0.6667	0.3918	
BOTANICAL	1.0000	0.7556	
WATER	0.6667	0.7500	
ABOVE	0.6667	0.8333	
LETTER	0.8000	0.7639	
THERE	0.6000	0.6540	
BE	1.0000	0.8776	
FUTURE	0.6667	0.7037	
AND	1.0000	0.9652	
HONBLE	0.8000	0.8690	
EMPLOYED	1.0000	1.0000	
KNOWN	0.2500	0.2568	
SEASON	1.0000	0.5889	
SEVERAL	0.3333	0.3870	
SUBJECT	0.0000	0.0420	
DIVISION	0.7500	0.9167	
ESQRE	0.2500	0.2165	
PRESENT	0.6667	0.5900	
NATIVES	0.6667	0.3916	
INDIES	0.6667	0.6879	
CONTD	0.7500	0.8214	
SEEDS	0.4000	0.2763	
GOVERN	0.0000	0.0022	
THOSE	0.8000	0.8016	
GREAT	0.3333	0.2090	
AUGUST	0.0000	0.0361	
QUANTITY	1.0000	1.0000	
CALLED	1.0000	1.0000	
WHICH	1.0000	0.8943	
APRIL	0.0000	0.0993	
STATE	0.6667	0.5500	
SENNA	0.2500	0.4958	
INCHES	0.0000	0.0771	
ROPES	0.6667	0.4014	
CONSIDERABLE	0.5000	0.7679	
PLACE	0.2000	0.2470	
CONSIDER	0.6667	0.3733	
DURING	0.6000	0.5278	
GIBSON	0.4000	0.4804	
THEIR	0.6000	0.5081	
LEAVES	0.6667	0.6814	
TREES	1.0000	0.9683	
SUPERINTENDENT	1.0000	0.6792	
SOUTHERN	0.0000	0.0678	
DECEMBER	0.7500	0.9167	
ANNUAL	1.0000	1.0000	
FOR	1.0000	0.7428	
PROVINCES	0.2000	0.2005	
THEREFORE	0.0000	0.0956	
TEMPERATURES	0.0000	0.0986	
THESE	0.0000	0.1333	
DATED	1.0000	1.0000	
GENERAL	0.3333	0.2840	
LITTLE	0.3333	0.2288	
SHOULD	0.8000	0.8714	
REVENUE	0.5000	0.6571	
DOCTOR	1.0000	1.0000	
MIGHT	0.6000	0.4629	
WILLIAM	0.4000	0.3045	
FIRST	0.5000	0.5683	
