Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.3104	0.2731	
MAKING	0.0000	0.0142	
UNDER	0.2000	0.1218	
WHOLE	0.4000	0.1684	
BOARD	0.0000	0.0305	
GARDENS	0.6000	0.5550	
AVERRHOA	0.6667	0.7333	
GARDEN	0.6000	0.4377	
CULTIVATED	0.4000	0.3049	
VALUABLE	0.6000	0.4398	
COLLECTING	0.6667	0.7222	
CALCUTTA	0.3333	0.2179	
ITALY	0.0000	0.0561	
THREE	0.0000	0.0357	
PLANTS	0.4000	0.1306	
TIMES	0.3333	0.3730	
NOT	0.2000	0.1048	
CULTIVATION	0.5000	0.5653	
FEBRUARY	0.3333	0.4470	
BUT	0.0000	0.0381	
WHERE	0.0000	0.0086	
PRODUCED	0.3333	0.3592	
CHINA	0.0000	0.0229	
DIFFERENT	0.3333	0.2862	
DIRECTED	0.6667	0.7222	
ITS	0.0000	0.0213	
PARTS	0.0000	0.0373	
COMMON	1.0000	0.6389	
PLANT	0.0000	0.0289	
CHIEF	0.2000	0.1716	
GEORGE	0.0000	0.0078	
IMPORTANCE	0.3333	0.1450	
EVERY	0.0000	0.0675	
FRUIT	0.4000	0.4783	
CLIMATE	0.0000	0.0929	
PURCHASE	0.3333	0.3889	
INDIA	0.0000	0.0170	
COUNTRIES	0.0000	0.0241	
GOVERNMENT	0.3333	0.1635	
SUMMER	0.0000	0.0229	
ATTENTION	0.2500	0.4044	
SHALL	0.3333	0.1797	
BEING	0.0000	0.0251	
BOTANICAL	0.3333	0.2025	
WATER	0.6667	0.5940	
ABOVE	0.3333	0.1051	
LETTER	0.4000	0.3090	
THERE	0.2000	0.2256	
BE	1.0000	0.5920	
FUTURE	0.3333	0.4334	
AND	1.0000	0.6598	
HONBLE	0.0000	0.0762	
EMPLOYED	0.0000	0.0626	
KNOWN	0.0000	0.0151	
SEASON	0.6667	0.3860	
SEVERAL	0.6667	0.5208	
SUBJECT	0.3333	0.0887	
DIVISION	0.7500	0.6542	
ESQRE	0.5000	0.5917	
PRESENT	0.6667	0.5642	
NATIVES	0.0000	0.0348	
INDIES	0.0000	0.0043	
CONTD	0.0000	0.0230	
SEEDS	0.0000	0.0217	
GOVERN	0.0000	0.0017	
THOSE	0.2000	0.0899	
GREAT	0.3333	0.3343	
AUGUST	0.0000	0.0632	
QUANTITY	0.0000	0.0668	
CALLED	0.3333	0.2982	
WHICH	0.2000	0.1768	
APRIL	0.8000	0.9667	
STATE	0.3333	0.3871	
SENNA	0.5000	0.4858	
INCHES	0.4000	0.3043	
ROPES	0.0000	0.0463	
CONSIDERABLE	0.7500	0.9167	
PLACE	0.4000	0.3299	
CONSIDER	0.6667	0.5990	
DURING	0.2000	0.0781	
GIBSON	0.0000	0.0100	
THEIR	0.0000	0.0162	
LEAVES	0.3333	0.2292	
TREES	0.6000	0.5304	
SUPERINTENDENT	0.5000	0.2424	
SOUTHERN	0.2000	0.1850	
DECEMBER	1.0000	1.0000	
ANNUAL	0.6667	0.6730	
FOR	0.4000	0.1912	
PROVINCES	0.6000	0.6564	
THEREFORE	0.2500	0.1312	
TEMPERATURES	0.0000	0.0803	
THESE	0.6000	0.3723	
DATED	1.0000	0.7556	
GENERAL	0.3333	0.4204	
LITTLE	0.0000	0.0038	
SHOULD	0.2000	0.1771	
REVENUE	0.5000	0.2910	
DOCTOR	0.2000	0.1421	
MIGHT	0.0000	0.0270	
WILLIAM	0.0000	0.0062	
FIRST	0.2500	0.3172	
